src_name,avgParticlesPerCell,cutoff,domainSizeX,domainSizeY,domainSizeZ,estimatedNumNeighborInteractions,maxParticlesPerCell,minParticlesPerCell,numCells,numEmptyCells,numHaloParticles,numParticles,particleSize,particleSizeNeededByFunctor,particlesPerBlurredCellStdDev,particlesPerCellStdDev,rebuildFrequency,skin,threadCount,Ranking,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3
./data/1714081675192135529,0.000112,3.0,63.0,415.0,495.0,108.0,1.0,0.0,481635.0,481581.0,0.0,54.0,128.0,72.0,0.321818,0.136075,10.0,1.0,12.0,1.0,VerletClusterLists,1.0,vcl_c06,none,AoS,disabled
./data/1714081675192135529,0.000112,3.0,63.0,415.0,495.0,108.0,1.0,0.0,481635.0,481581.0,0.0,54.0,128.0,72.0,0.321818,0.136075,10.0,1.0,12.0,0.7788007830714049,VerletClusterLists,1.0,vcl_cluster_iteration,none,AoS,disabled
./data/1714081675192135529,0.000112,3.0,63.0,415.0,495.0,108.0,1.0,0.0,481635.0,481581.0,0.0,54.0,128.0,72.0,0.321818,0.136075,10.0,1.0,12.0,0.6065306597126334,VerletClusterLists,1.0,vcl_c01_balanced,none,SoA,disabled
./data/1714081675192135529,0.000112,3.0,63.0,415.0,495.0,108.0,1.0,0.0,481635.0,481581.0,0.0,54.0,128.0,72.0,0.321818,0.136075,10.0,1.0,12.0,0.4723665527410147,VerletClusterLists,1.0,vcl_c06,none,SoA,disabled
./data/1714078155370042694,2.332702,3.0,55.0,55.0,55.0,31734899.0,2440.0,0.0,6859.0,6742.0,0.0,16000.0,128.0,72.0,0.454982,0.243102,10.0,1.0,12.0,1.0,LinkedCells,1.0,lc_c01,none,SoA,disabled
./data/1714078155370042694,2.332702,3.0,55.0,55.0,55.0,31734899.0,2440.0,0.0,6859.0,6742.0,0.0,16000.0,128.0,72.0,0.454982,0.243102,10.0,1.0,12.0,0.7788007830714049,VerletClusterLists,1.0,vcl_c01_balanced,none,SoA,disabled
./data/1714078155370042694,2.332702,3.0,55.0,55.0,55.0,31734899.0,2440.0,0.0,6859.0,6742.0,0.0,16000.0,128.0,72.0,0.454982,0.243102,10.0,1.0,12.0,0.6065306597126334,VerletLists,1.0,vl_list_iteration,none,SoA,disabled
./data/1714078155370042694,2.332702,3.0,55.0,55.0,55.0,31734899.0,2440.0,0.0,6859.0,6742.0,0.0,16000.0,128.0,72.0,0.454982,0.243102,10.0,1.0,12.0,0.4723665527410147,VerletLists,1.0,vl_list_iteration,none,AoS,disabled
./data/1714082578016230200,0.225185,3.0,45.0,45.0,45.0,1531.0,1.0,0.0,3375.0,2615.0,0.0,760.0,128.0,72.0,0.050404,0.03193,10.0,1.0,12.0,1.0,VerletClusterLists,1.0,vcl_c06,none,SoA,enabled
./data/1714082578016230200,0.225185,3.0,45.0,45.0,45.0,1531.0,1.0,0.0,3375.0,2615.0,0.0,760.0,128.0,72.0,0.050404,0.03193,10.0,1.0,12.0,0.7788007830714049,LinkedCells,1.0,lc_c08,none,AoS,disabled
