Date,Iteration,Container,CellSizeFactor,Traversal,Load Estimator,Data Layout,Newton 3,tuning[ns],optimumPerformance[ns]
2024-05-14 00:43:19,66850,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20769043,11638903
2024-05-14 00:44:57,68000,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20215283,11504370
2024-05-14 00:46:29,69150,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,22914125,9525848
2024-05-14 00:48:06,70300,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21106453,10428776
2024-05-14 00:49:45,71450,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,21482998,12042981
2024-05-14 00:51:22,72600,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,23032489,10395491
2024-05-14 00:52:59,73750,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,22840427,11249056
2024-05-14 00:54:40,74900,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21668272,11209210
2024-05-14 00:56:14,76050,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21291829,9970460
2024-05-14 00:57:50,77200,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,21524103,11118334
2024-05-14 00:59:25,78350,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21119781,10009217
2024-05-14 01:01:00,79500,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21596055,10441264
2024-05-14 01:02:40,80650,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21443944,10817617
2024-05-14 01:04:16,81800,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,22021771,10209024
2024-05-14 01:05:51,82950,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,23247218,9979478
2024-05-14 01:07:32,84100,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20993545,9996272
2024-05-14 01:09:04,85250,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,20981801,9753247
2024-05-14 01:10:36,86400,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21767216,9993493
2024-05-14 01:12:12,87550,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21675765,10058761
2024-05-14 01:13:44,88700,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21310795,9823794
2024-05-14 01:15:17,89850,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,22611469,10061499
2024-05-14 01:16:48,91000,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21983579,9764050
2024-05-14 01:18:20,92150,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21192574,9933971
2024-05-14 01:19:51,93300,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,22477040,9927841
2024-05-14 01:21:23,94450,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21445998,9913651
2024-05-14 01:22:54,95600,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21958012,9963713
2024-05-14 01:24:25,96750,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21276039,9909482
2024-05-14 01:25:55,97900,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,22073907,10027610
2024-05-14 01:27:25,99050,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,21778668,10090853
2024-05-14 01:28:56,100200,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,22159076,9536968
2024-05-14 01:30:45,101350,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,25482463,11188076
2024-05-14 01:32:28,102500,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,23148252,11243353
2024-05-14 01:34:07,103650,VerletListsCells,1.000000,vlc_c01,none,AoS,disabled,22053189,11053761
2024-05-14 01:35:49,104800,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,23940009,10200830
2024-05-14 01:37:21,105950,VerletListsCells,1.000000,vlc_c18,none,AoS,enabled,23856332,10174612
